geneA_id	geneB_id	geneA_position	geneB_position	intervening_genes	operon_id	operon_length
P00547	P0AD86	3	1	1	173653	4
P00934	P0AD86	4	1	2	173653	4
P00547	P00561	3	2	0	173653	4
P00561	P00934	2	4	1	173653	4
P00547	P00934	3	4	0	173653	4
Q46808	Q46809	2	1	0	174221	2
P0AAA5	P0AC92	1	2	0	173864	2
P0CF40	P0CF53	1	2	0	174254	5
P0CF40	P76655	1	3	1	174254	5
P0CF40	P77616	1	4	2	174254	5
P0CF40	P76656	1	5	3	174254	5
P0CF53	P76655	2	3	0	174254	5
P0CF53	P77616	2	4	1	174254	5
P0CF53	P76656	2	5	2	174254	5
P76655	P77616	3	4	0	174254	5
P76655	P76656	3	5	1	174254	5
P76656	P77616	5	4	0	174254	5
P0AC00	P45539	2	1	0	174430	4
P45539	P45541	1	3	1	174430	4
P45539	P45543	1	4	2	174430	4
P0AC00	P45541	2	3	0	174430	4
P0AC00	P45543	2	4	1	174430	4
P45541	P45543	3	4	0	174430	4
P45562	P45563	2	1	0	174122	2
P0AA41	Q46919	2	1	0	174204	3
P65367	Q46919	3	1	1	174204	3
P0AA41	P65367	2	3	0	174204	3
P46478	P46482	1	2	0	174297	3
P46478	P46481	1	3	1	174297	3
P46481	P46482	3	2	0	174297	3
P0A7B8	P29131	2	1	0	174320	3
P0A6H5	P29131	3	1	1	174320	3
P0A6H5	P0A7B8	3	2	0	174320	3
P0A7R5	P60438	1	2	0	174441	11
P0A7R5	P60723	1	3	1	174441	11
P0A7R5	P0ADZ0	1	4	2	174441	11
P0A7R5	P60422	1	5	3	174441	11
P0A7R5	P0A7U3	1	6	4	174441	11
P0A7R5	P61175	1	7	5	174441	11
P0A7R5	P0A7V3	1	8	6	174441	11
P0A7R5	P0ADY7	1	9	7	174441	11
P0A7M6	P0A7R5	10	1	8	174441	11
P0A7R5	P0AG63	1	11	9	174441	11
P60438	P60723	2	3	0	174441	11
P0ADZ0	P60438	4	2	1	174441	11
P60422	P60438	5	2	2	174441	11
P0A7U3	P60438	6	2	3	174441	11
P60438	P61175	2	7	4	174441	11
P0A7V3	P60438	8	2	5	174441	11
P0ADY7	P60438	9	2	6	174441	11
P0A7M6	P60438	10	2	7	174441	11
P0AG63	P60438	11	2	8	174441	11
P0ADZ0	P60723	4	3	0	174441	11
P60422	P60723	5	3	1	174441	11
P0A7U3	P60723	6	3	2	174441	11
P60723	P61175	3	7	3	174441	11
P0A7V3	P60723	8	3	4	174441	11
P0ADY7	P60723	9	3	5	174441	11
P0A7M6	P60723	10	3	6	174441	11
P0AG63	P60723	11	3	7	174441	11
P0ADZ0	P60422	4	5	0	174441	11
P0A7U3	P0ADZ0	6	4	1	174441	11
P0ADZ0	P61175	4	7	2	174441	11
P0A7V3	P0ADZ0	8	4	3	174441	11
P0ADY7	P0ADZ0	9	4	4	174441	11
P0A7M6	P0ADZ0	10	4	5	174441	11
P0ADZ0	P0AG63	4	11	6	174441	11
P0A7U3	P60422	6	5	0	174441	11
P60422	P61175	5	7	1	174441	11
P0A7V3	P60422	8	5	2	174441	11
P0ADY7	P60422	9	5	3	174441	11
P0A7M6	P60422	10	5	4	174441	11
P0AG63	P60422	11	5	5	174441	11
P0A7U3	P61175	6	7	0	174441	11
P0A7U3	P0A7V3	6	8	1	174441	11
P0A7U3	P0ADY7	6	9	2	174441	11
P0A7M6	P0A7U3	10	6	3	174441	11
P0A7U3	P0AG63	6	11	4	174441	11
P0A7V3	P61175	8	7	0	174441	11
P0ADY7	P61175	9	7	1	174441	11
P0A7M6	P61175	10	7	2	174441	11
P0AG63	P61175	11	7	3	174441	11
P0A7V3	P0ADY7	8	9	0	174441	11
P0A7M6	P0A7V3	10	8	1	174441	11
P0A7V3	P0AG63	8	11	2	174441	11
P0A7M6	P0ADY7	10	9	0	174441	11
P0ADY7	P0AG63	9	11	1	174441	11
P0A7M6	P0AG63	10	11	0	174441	11
P32170	P32171	2	1	0	174325	2
P65298	Q46858	2	1	0	174246	2
P15081	P15082	1	2	0	174185	3
P15081	P17115	1	3	1	174185	3
P15082	P17115	2	3	0	174185	3
P33030	P76445	1	2	0	174078	2
P23836	P23837	1	2	0	173890	2
P0AG82	P0AGH8	1	2	0	174356	3
P07654	P0AG82	3	1	1	174356	3
P07654	P0AGH8	3	2	0	174356	3
P0A867	P33570	1	2	0	174134	2
P0AFY2	P64536	1	2	0	174071	2
P0AEJ2	P10378	1	2	0	173786	5
P0ADI4	P0AEJ2	3	1	1	173786	5
P0AEJ2	P15047	1	4	2	173786	5
P0A8Y8	P0AEJ2	5	1	3	173786	5
P0ADI4	P10378	3	2	0	173786	5
P10378	P15047	2	4	1	173786	5
P0A8Y8	P10378	5	2	2	173786	5
P0ADI4	P15047	3	4	0	173786	5
P0A8Y8	P0ADI4	5	3	1	173786	5
P0A8Y8	P15047	5	4	0	173786	5
P07913	P0AB77	2	1	0	174381	2
P0ABJ9	P0ABK2	1	2	0	173813	4
P0ABJ9	P56100	1	3	1	173813	4
P0AAV0	P0ABJ9	4	1	2	173813	4
P0ABK2	P56100	2	3	0	173813	4
P0AAV0	P0ABK2	4	2	1	173813	4
P0AAV0	P56100	4	3	0	173813	4
P77252	P77536	1	2	0	173724	3
P77252	P77433	1	3	1	173724	3
P77433	P77536	3	2	0	173724	3
P75830	P75831	1	2	0	173842	2
P0ACA3	P0AFZ3	1	2	0	174294	2
P08202	P08204	2	1	0	173671	2
P0ACS5	P36677	2	1	0	174444	2
P0AFS9	P39172	2	1	0	174017	2
P0A6C8	P11446	2	1	0	174315	3
P11446	P11447	1	3	1	174315	3
P0A6C8	P11447	2	3	0	174315	3
P77174	P77216	2	1	0	173787	2
P0AE06	P31224	1	2	0	173758	2
P31447	P31448	2	1	0	174368	2
P0AEZ3	P18196	2	1	0	173898	3
P0A734	P18196	3	1	1	173898	3
P0A734	P0AEZ3	3	2	0	173898	3
P0AG80	P10905	1	2	0	174416	5
P0AG80	P10906	1	3	1	174416	5
P0AG80	P10907	1	4	2	174416	5
P0AG80	P10908	1	5	3	174416	5
P10905	P10906	2	3	0	174416	5
P10905	P10907	2	4	1	174416	5
P10905	P10908	2	5	2	174416	5
P10906	P10907	3	4	0	174416	5
P10906	P10908	3	5	1	174416	5
P10907	P10908	4	5	0	174416	5
P0AE37	P77581	2	1	0	173995	5
P76217	P77581	3	1	1	173995	5
P76216	P77581	4	1	2	173995	5
P76215	P77581	5	1	3	173995	5
P0AE37	P76217	2	3	0	173995	5
P0AE37	P76216	2	4	1	173995	5
P0AE37	P76215	2	5	2	173995	5
P76216	P76217	4	3	0	173995	5
P76215	P76217	5	3	1	173995	5
P76215	P76216	5	4	0	173995	5
P0AED7	P24178	2	1	0	174136	3
P24178	Q2EET2	1	3	1	174136	3
P0AED7	Q2EET2	2	3	0	174136	3
P00722	P02920	1	2	0	173731	3
P00722	P07464	1	3	1	173731	3
P02920	P07464	2	3	0	173731	3
P76397	P76398	1	2	0	174058	6
P76397	P76399	1	3	1	174058	6
P36554	P76397	4	1	2	174058	6
P30847	P76397	5	1	3	174058	6
P69228	P76397	6	1	4	174058	6
P76398	P76399	2	3	0	174058	6
P36554	P76398	4	2	1	174058	6
P30847	P76398	5	2	2	174058	6
P69228	P76398	6	2	3	174058	6
P36554	P76399	4	3	0	174058	6
P30847	P76399	5	3	1	174058	6
P69228	P76399	6	3	2	174058	6
P30847	P36554	5	4	0	174058	6
P36554	P69228	4	6	1	174058	6
P30847	P69228	5	6	0	174058	6
P0ABZ1	P25798	2	1	0	174036	6
P25798	P31068	1	3	1	174036	6
P25798	P52612	1	4	2	174036	6
P25798	P52613	1	5	3	174036	6
P25798	P52614	1	6	4	174036	6
P0ABZ1	P31068	2	3	0	174036	6
P0ABZ1	P52612	2	4	1	174036	6
P0ABZ1	P52613	2	5	2	174036	6
P0ABZ1	P52614	2	6	3	174036	6
P31068	P52612	3	4	0	174036	6
P31068	P52613	3	5	1	174036	6
P31068	P52614	3	6	2	174036	6
P52612	P52613	4	5	0	174036	6
P52612	P52614	4	6	1	174036	6
P52613	P52614	5	6	0	174036	6
P0AGG0	P18200	1	2	0	173748	2
P52129	P52130	1	2	0	174168	2
P0AAP3	P25437	1	2	0	173734	3
P0AAP3	P51025	1	3	1	173734	3
P25437	P51025	2	3	0	173734	3
P0ABW3	P69924	2	1	0	174090	2
P0CF47	P0CF61	1	2	0	173907	2
P46139	P64548	2	1	0	174164	3
P07021	P64548	3	1	1	174164	3
P07021	P46139	3	2	0	174164	3
P24216	P26608	1	2	0	174034	4
P0ABY2	P24216	3	1	1	174034	4
P24216	P26612	1	4	2	174034	4
P0ABY2	P26608	3	2	0	174034	4
P26608	P26612	2	4	1	174034	4
P0ABY2	P26612	3	4	0	174034	4
P0AC26	P0AEA8	1	2	0	174431	2
P71242	P71243	1	2	0	174052	3
P71242	P71244	1	3	1	174052	3
P71243	P71244	2	3	0	174052	3
P0A9X1	P39832	1	2	0	174018	2
P0ABS1	P27305	1	2	0	173686	4
P0ABF1	P0ABS1	3	1	1	173686	4
P0ABS1	P26281	1	4	2	173686	4
P0ABF1	P27305	3	2	0	173686	4
P26281	P27305	4	2	1	173686	4
P0ABF1	P26281	3	4	0	173686	4
P06129	P22634	1	2	0	174313	2
P0AD37	P27238	1	2	0	174121	2
P45766	P45767	1	2	0	174303	4
P45766	P45768	1	3	1	174303	4
P45766	P45769	1	4	2	174303	4
P45767	P45768	2	3	0	174303	4
P45767	P45769	2	4	1	174303	4
P45768	P45769	3	4	0	174303	4
P31057	P31663	1	2	0	173684	2
P0A766	P77223	1	2	0	173978	7
P0A766	P77611	1	3	1	173978	7
P0A766	P76182	1	4	2	173978	7
P0A766	P77285	1	5	3	173978	7
P0A766	P77179	1	6	4	173978	7
P0A766	P0AB83	1	7	5	173978	7
P77223	P77611	2	3	0	173978	7
P76182	P77223	4	2	1	173978	7
P77223	P77285	2	5	2	173978	7
P77179	P77223	6	2	3	173978	7
P0AB83	P77223	7	2	4	173978	7
P76182	P77611	4	3	0	173978	7
P77285	P77611	5	3	1	173978	7
P77179	P77611	6	3	2	173978	7
P0AB83	P77611	7	3	3	173978	7
P76182	P77285	4	5	0	173978	7
P76182	P77179	4	6	1	173978	7
P0AB83	P76182	7	4	2	173978	7
P77179	P77285	6	5	0	173978	7
P0AB83	P77285	7	5	1	173978	7
P0AB83	P77179	7	6	0	173978	7
P0ADX5	P20605	1	2	0	174433	4
P00903	P0ADX5	3	1	1	174433	4
P0ADX5	P18335	1	4	2	174433	4
P00903	P20605	3	2	0	174433	4
P18335	P20605	4	2	1	174433	4
P00903	P18335	3	4	0	174433	4
P36548	P36553	1	2	0	174130	2
P0ADW6	P0AEC3	1	2	0	174290	2
P42909	P42910	1	2	0	174274	4
P42909	P42911	1	3	1	174274	4
P42909	P42912	1	4	2	174274	4
P42910	P42911	2	3	0	174274	4
P42910	P42912	2	4	1	174274	4
P42911	P42912	3	4	0	174274	4
P0AB06	P75849	1	2	0	173852	2
P0AAU5	P16918	2	1	0	173804	2
P08201	P0A9I8	1	2	0	174432	2
P32720	P32721	2	1	0	174459	4
P32719	P32721	3	1	1	174459	4
P32718	P32721	4	1	2	174459	4
P32719	P32720	3	2	0	174459	4
P32718	P32720	4	2	1	174459	4
P32718	P32719	4	3	0	174459	4
P0AGB0	P24554	1	2	0	174515	3
P0AGB0	P27278	1	3	1	174515	3
P24554	P27278	2	3	0	174515	3
P0ACG4	P33236	1	2	0	173658	2
P0A6S5	Q46893	1	2	0	174192	6
P0A6S5	P62617	1	3	1	174192	6
P0A6S5	Q57261	1	4	2	174192	6
P0A6S5	P0A840	1	5	3	174192	6
P0A6S5	P0A7A5	1	6	4	174192	6
P62617	Q46893	3	2	0	174192	6
Q46893	Q57261	2	4	1	174192	6
P0A840	Q46893	5	2	2	174192	6
P0A7A5	Q46893	6	2	3	174192	6
P62617	Q57261	3	4	0	174192	6
P0A840	P62617	5	3	1	174192	6
P0A7A5	P62617	6	3	2	174192	6
P0A840	Q57261	5	4	0	174192	6
P0A7A5	Q57261	6	4	1	174192	6
P0A7A5	P0A840	6	5	0	174192	6
P16700	P16701	1	2	0	174126	4
P0AEB0	P16700	3	1	1	174126	4
P16676	P16700	4	1	2	174126	4
P0AEB0	P16701	3	2	0	174126	4
P16676	P16701	4	2	1	174126	4
P0AEB0	P16676	3	4	0	174126	4
P0ADC8	P39396	2	1	0	174507	3
P24203	P39396	3	1	1	174507	3
P0ADC8	P24203	2	3	0	174507	3
P39368	Q2EEU2	2	1	0	174497	2
P0AEP1	P39902	1	2	0	174234	2
P0A8C4	P15034	1	2	0	174228	4
P0A8C4	P25534	1	3	1	174228	4
P0A8C4	P25535	1	4	2	174228	4
P15034	P25534	2	3	0	174228	4
P15034	P25535	2	4	1	174228	4
P25534	P25535	3	4	0	174228	4
P24215	P39160	1	2	0	174501	2
P0AE14	P13016	2	1	0	173680	2
P37624	P37626	2	1	0	174407	3
P0AGH1	P37626	3	1	1	174407	3
P0AGH1	P37624	3	2	0	174407	3
P27434	P62620	1	2	0	174149	2
P64559	Q46824	1	2	0	174226	2
P0AF67	P31806	2	1	0	174475	5
P26365	P31806	3	1	1	174475	5
P23367	P31806	4	1	2	174475	5
P16384	P31806	5	1	3	174475	5
P0AF67	P26365	2	3	0	174475	5
P0AF67	P23367	2	4	1	174475	5
P0AF67	P16384	2	5	2	174475	5
P23367	P26365	4	3	0	174475	5
P16384	P26365	5	3	1	174475	5
P16384	P23367	5	4	0	174475	5
P0ACN4	P77731	2	1	0	173768	2
P0AEU0	P52094	1	2	0	174104	4
P0AEU0	P0AEU3	1	3	1	174104	4
P07109	P0AEU0	4	1	2	174104	4
P0AEU3	P52094	3	2	0	174104	4
P07109	P52094	4	2	1	174104	4
P07109	P0AEU3	4	3	0	174104	4
P0A6X1	P0A7I0	1	2	0	173903	6
P0A6X1	P0ACC1	1	3	1	173903	6
P0A6X1	Q46755	1	4	2	173903	6
P0A6X1	P0AGM5	1	5	3	173903	6
P0A6X1	P0A715	1	6	4	173903	6
P0A7I0	P0ACC1	2	3	0	173903	6
P0A7I0	Q46755	2	4	1	173903	6
P0A7I0	P0AGM5	2	5	2	173903	6
P0A715	P0A7I0	6	2	3	173903	6
P0ACC1	Q46755	3	4	0	173903	6
P0ACC1	P0AGM5	3	5	1	173903	6
P0A715	P0ACC1	6	3	2	173903	6
P0AGM5	Q46755	5	4	0	173903	6
P0A715	Q46755	6	4	1	173903	6
P0A715	P0AGM5	6	5	0	173903	6
P0AFL9	P43671	1	2	0	173856	3
P0AB10	P0AFL9	3	1	1	173856	3
P0AB10	P43671	3	2	0	173856	3
P69425	P69428	2	1	0	174339	4
P69423	P69428	3	1	1	174339	4
P27859	P69428	4	1	2	174339	4
P69423	P69425	3	2	0	174339	4
P27859	P69425	4	2	1	174339	4
P27859	P69423	4	3	0	174339	4
P0CF47	P0CF61	1	2	0	174361	2
P0AEF4	P77510	2	1	0	173789	2
P0AGH3	Q47622	2	1	0	173918	6
P0AGH5	Q47622	3	1	1	173918	6
P0AAH4	Q47622	4	1	2	173918	6
P0AAH8	Q47622	5	1	3	173918	6
P45736	Q47622	6	1	4	173918	6
P0AGH3	P0AGH5	2	3	0	173918	6
P0AAH4	P0AGH3	4	2	1	173918	6
P0AAH8	P0AGH3	5	2	2	173918	6
P0AGH3	P45736	2	6	3	173918	6
P0AAH4	P0AGH5	4	3	0	173918	6
P0AAH8	P0AGH5	5	3	1	173918	6
P0AGH5	P45736	3	6	2	173918	6
P0AAH4	P0AAH8	4	5	0	173918	6
P0AAH4	P45736	4	6	1	173918	6
P0AAH8	P45736	5	6	0	173918	6
P38104	P38105	1	2	0	173969	2
P33229	P33230	1	2	0	173927	2
P0AC55	P69681	1	2	0	173756	2
P0ADL6	P0ADM0	2	1	0	174369	3
P0ADM0	P31443	1	3	1	174369	3
P0ADL6	P31443	2	3	0	174369	3
P07639	P0A6D7	2	1	0	174428	7
P0A6D7	P11557	1	3	1	174428	7
P0A6D7	P0AEE8	1	4	2	174428	7
P0A6D7	P0AG07	1	5	3	174428	7
P0A6D7	P32662	1	6	4	174428	7
P00954	P0A6D7	7	1	5	174428	7
P07639	P11557	2	3	0	174428	7
P07639	P0AEE8	2	4	1	174428	7
P07639	P0AG07	2	5	2	174428	7
P07639	P32662	2	6	3	174428	7
P00954	P07639	7	2	4	174428	7
P0AEE8	P11557	4	3	0	174428	7
P0AG07	P11557	5	3	1	174428	7
P11557	P32662	3	6	2	174428	7
P00954	P11557	7	3	3	174428	7
P0AEE8	P0AG07	4	5	0	174428	7
P0AEE8	P32662	4	6	1	174428	7
P00954	P0AEE8	7	4	2	174428	7
P0AG07	P32662	5	6	0	174428	7
P00954	P0AG07	7	5	1	174428	7
P00954	P32662	7	6	0	174428	7
P0ADL3	P31440	2	1	0	174372	3
P0ADL1	P31440	3	1	1	174372	3
P0ADL1	P0ADL3	3	2	0	174372	3
P0AEZ9	P30745	2	1	0	173823	5
P0A738	P30745	3	1	1	173823	5
P30745	P30748	1	4	2	173823	5
P30745	P30749	1	5	3	173823	5
P0A738	P0AEZ9	3	2	0	173823	5
P0AEZ9	P30748	2	4	1	173823	5
P0AEZ9	P30749	2	5	2	173823	5
P0A738	P30748	3	4	0	173823	5
P0A738	P30749	3	5	1	173823	5
P30748	P30749	4	5	0	173823	5
P69434	P75906	1	2	0	173870	4
P69434	P75905	1	3	1	173870	4
P69432	P69434	4	1	2	173870	4
P75905	P75906	3	2	0	173870	4
P69432	P75906	4	2	1	173870	4
P69432	P75905	4	3	0	173870	4
P75913	P75914	1	2	0	173872	3
P75913	P75915	1	3	1	173872	3
P75914	P75915	2	3	0	173872	3
P0AD12	P76369	1	2	0	174048	2
P0CF08	P0CF26	1	2	0	173713	4
P0CF08	P75681	1	3	1	173713	4
P0CF08	P37009	1	4	2	173713	4
P0CF26	P75681	2	3	0	173713	4
P0CF26	P37009	2	4	1	173713	4
P37009	P75681	4	3	0	173713	4
P27298	P68567	1	2	0	174406	2
P37652	P37653	2	1	0	174400	4
P37651	P37653	3	1	1	174400	4
P37650	P37653	4	1	2	174400	4
P37651	P37652	3	2	0	174400	4
P37650	P37652	4	2	1	174400	4
P37650	P37651	4	3	0	174400	4
P37767	P52102	1	2	0	174156	2
P0A8G3	P42604	1	2	0	174263	2
P08400	P0AFJ5	2	1	0	173744	2
P77269	P77509	1	2	0	174153	5
P77269	P77315	1	3	1	174153	5
P77269	P77360	1	4	2	174153	5
P76584	P77269	5	1	3	174153	5
P77315	P77509	3	2	0	174153	5
P77360	P77509	4	2	1	174153	5
P76584	P77509	5	2	2	174153	5
P77315	P77360	3	4	0	174153	5
P76584	P77315	5	3	1	174153	5
P76584	P77360	5	4	0	174153	5
P36659	P63264	1	2	0	173866	2
Q46888	Q46889	1	2	0	174190	2
P0A930	P0AAB2	1	2	0	174055	3
P0A930	P76387	1	3	1	174055	3
P0AAB2	P76387	2	3	0	174055	3
P09424	P0AF10	1	2	0	174385	2
P0AFX7	P0AGB6	2	1	0	174159	4
P0AFX9	P0AGB6	3	1	1	174159	4
P0AGB6	P46187	1	4	2	174159	4
P0AFX7	P0AFX9	2	3	0	174159	4
P0AFX7	P46187	2	4	1	174159	4
P0AFX9	P46187	3	4	0	174159	4
P0A707	P0A8M3	2	1	0	173992	2
P06974	P0ABX8	2	1	0	174037	7
P0ABX8	P15070	1	3	1	174037	7
P0ABX8	P22586	1	4	2	174037	7
P0ABX8	P0AC05	1	5	3	174037	7
P0ABX8	P0AC07	1	6	4	174037	7
P0ABX8	P33135	1	7	5	174037	7
P06974	P15070	2	3	0	174037	7
P06974	P22586	2	4	1	174037	7
P06974	P0AC05	2	5	2	174037	7
P06974	P0AC07	2	6	3	174037	7
P06974	P33135	2	7	4	174037	7
P15070	P22586	3	4	0	174037	7
P0AC05	P15070	5	3	1	174037	7
P0AC07	P15070	6	3	2	174037	7
P15070	P33135	3	7	3	174037	7
P0AC05	P22586	5	4	0	174037	7
P0AC07	P22586	6	4	1	174037	7
P22586	P33135	4	7	2	174037	7
P0AC05	P0AC07	5	6	0	174037	7
P0AC05	P33135	5	7	1	174037	7
P0AC07	P33135	6	7	0	174037	7
P0AFK4	P69874	2	1	0	173889	6
P0AFK6	P69874	3	1	1	173889	6
P0AFK9	P69874	4	1	2	173889	6
P69874	P75962	1	5	3	173889	6
P69874	P75961	1	6	4	173889	6
P0AFK4	P0AFK6	2	3	0	173889	6
P0AFK4	P0AFK9	2	4	1	173889	6
P0AFK4	P75962	2	5	2	173889	6
P0AFK4	P75961	2	6	3	173889	6
P0AFK6	P0AFK9	3	4	0	173889	6
P0AFK6	P75962	3	5	1	173889	6
P0AFK6	P75961	3	6	2	173889	6
P0AFK9	P75962	4	5	0	173889	6
P0AFK9	P75961	4	6	1	173889	6
P75961	P75962	6	5	0	173889	6
P0ABZ6	P31554	2	1	0	173668	6
P19624	P31554	3	1	1	173668	6
P06992	P31554	4	1	2	173668	6
P31554	P62672	1	5	3	173668	6
P05637	P31554	6	1	4	173668	6
P0ABZ6	P19624	2	3	0	173668	6
P06992	P0ABZ6	4	2	1	173668	6
P0ABZ6	P62672	2	5	2	173668	6
P05637	P0ABZ6	6	2	3	173668	6
P06992	P19624	4	3	0	173668	6
P19624	P62672	3	5	1	173668	6
P05637	P19624	6	3	2	173668	6
P06992	P62672	4	5	0	173668	6
P05637	P06992	6	4	1	173668	6
P05637	P62672	6	5	0	173668	6
P0AGL2	P42632	2	1	0	174268	3
P42630	P42632	3	1	1	174268	3
P0AGL2	P42630	2	3	0	174268	3
P0A805	P45568	1	2	0	173693	2
P75809	P75810	2	1	0	173835	2
P76339	P76340	2	1	0	174040	2
P75856	P75857	1	2	0	173854	6
P75856	P75858	1	3	1	173854	6
P75856	P75859	1	4	2	173854	6
P75856	P75860	1	5	3	173854	6
P40876	P75856	6	1	4	173854	6
P75857	P75858	2	3	0	173854	6
P75857	P75859	2	4	1	173854	6
P75857	P75860	2	5	2	173854	6
P40876	P75857	6	2	3	173854	6
P75858	P75859	3	4	0	173854	6
P75858	P75860	3	5	1	173854	6
P40876	P75858	6	3	2	173854	6
P75859	P75860	4	5	0	173854	6
P40876	P75859	6	4	1	173854	6
P40876	P75860	6	5	0	173854	6
P42914	P42915	1	2	0	174275	3
P42914	P43319	1	3	1	174275	3
P42915	P43319	2	3	0	174275	3
P76201	P77378	1	2	0	173987	5
P76201	P77337	1	3	1	173987	5
P76201	P77714	1	4	2	173987	5
P38135	P76201	5	1	3	173987	5
P77337	P77378	3	2	0	173987	5
P77378	P77714	2	4	1	173987	5
P38135	P77378	5	2	2	173987	5
P77337	P77714	3	4	0	173987	5
P38135	P77337	5	3	1	173987	5
P38135	P77714	5	4	0	173987	5
P08997	P0A9G6	1	2	0	174447	2
P37188	P69831	1	2	0	174060	2
P42616	P64581	1	2	0	174265	4
P42616	P64585	1	3	1	174265	4
P42616	Q47710	1	4	2	174265	4
P64581	P64585	2	3	0	174265	4
P64581	Q47710	2	4	1	174265	4
P64585	Q47710	3	4	0	174265	4
P26647	P26648	1	2	0	174247	2
Q46942	Q46943	1	2	0	174216	2
P76117	P76118	1	2	0	173944	2
P0AAJ8	P69741	2	1	0	174243	8
P37180	P69741	3	1	1	174243	8
P0ACE0	P69741	4	1	2	174243	8
P37182	P69741	5	1	3	174243	8
P0AAN1	P69741	6	1	4	174243	8
P0A703	P69741	7	1	5	174243	8
P0AAM7	P69741	8	1	6	174243	8
P0AAJ8	P37180	2	3	0	174243	8
P0AAJ8	P0ACE0	2	4	1	174243	8
P0AAJ8	P37182	2	5	2	174243	8
P0AAJ8	P0AAN1	2	6	3	174243	8
P0A703	P0AAJ8	7	2	4	174243	8
P0AAJ8	P0AAM7	2	8	5	174243	8
P0ACE0	P37180	4	3	0	174243	8
P37180	P37182	3	5	1	174243	8
P0AAN1	P37180	6	3	2	174243	8
P0A703	P37180	7	3	3	174243	8
P0AAM7	P37180	8	3	4	174243	8
P0ACE0	P37182	4	5	0	174243	8
P0AAN1	P0ACE0	6	4	1	174243	8
P0A703	P0ACE0	7	4	2	174243	8
P0AAM7	P0ACE0	8	4	3	174243	8
P0AAN1	P37182	6	5	0	174243	8
P0A703	P37182	7	5	1	174243	8
P0AAM7	P37182	8	5	2	174243	8
P0A703	P0AAN1	7	6	0	174243	8
P0AAM7	P0AAN1	8	6	1	174243	8
P0A703	P0AAM7	7	8	0	174243	8
P24180	P24181	1	2	0	174302	2
P76137	P77789	1	2	0	173954	3
P76137	P77294	1	3	1	173954	3
P77294	P77789	3	2	0	173954	3
P77748	P77781	1	2	0	173984	3
P64476	P77748	3	1	1	173984	3
P64476	P77781	3	2	0	173984	3
P76242	P76243	1	2	0	174003	2
P56579	P56580	1	2	0	174184	4
P05706	P56579	3	1	1	174184	4
P05707	P56579	4	1	2	174184	4
P05706	P56580	3	2	0	174184	4
P05707	P56580	4	2	1	174184	4
P05706	P05707	3	4	0	174184	4
P0A951	P76170	2	1	0	173970	2
P21151	P21177	2	1	0	174337	2
P0AA84	P0AAW1	2	1	0	173824	3
P0AAW1	P75770	1	3	1	173824	3
P0AA84	P75770	2	3	0	173824	3
P76052	P77357	2	1	0	173925	4
P46133	P77357	3	1	1	173925	4
P0AFH0	P77357	4	1	2	173925	4
P46133	P76052	3	2	0	173925	4
P0AFH0	P76052	4	2	1	173925	4
P0AFH0	P46133	4	3	0	173925	4
P0A9I5	P0AAL0	2	1	0	174082	15
P0AAL0	P33937	1	3	1	174082	15
P0AAL0	P0AAL3	1	4	2	174082	15
P0AAL0	P33934	1	5	3	174082	15
P0AAL0	P0ABL3	1	6	4	174082	15
P0AAL0	P0ABL5	1	7	5	174082	15
P0AAL0	P33931	1	8	6	174082	15
P0AAL0	P0ABL8	1	9	7	174082	15
P0AAL0	P0ABM1	1	10	8	174082	15
P0AAL0	P0ABM5	1	11	9	174082	15
P0AAL0	P69490	1	12	10	174082	15
P0AAL0	P33927	1	13	11	174082	15
P0AA86	P0AAL0	14	1	12	174082	15
P0AAL0	P0ABM9	1	15	13	174082	15
P0A9I5	P33937	2	3	0	174082	15
P0A9I5	P0AAL3	2	4	1	174082	15
P0A9I5	P33934	2	5	2	174082	15
P0A9I5	P0ABL3	2	6	3	174082	15
P0A9I5	P0ABL5	2	7	4	174082	15
P0A9I5	P33931	2	8	5	174082	15
P0A9I5	P0ABL8	2	9	6	174082	15
P0A9I5	P0ABM1	2	10	7	174082	15
P0A9I5	P0ABM5	2	11	8	174082	15
P0A9I5	P69490	2	12	9	174082	15
P0A9I5	P33927	2	13	10	174082	15
P0A9I5	P0AA86	2	14	11	174082	15
P0A9I5	P0ABM9	2	15	12	174082	15
P0AAL3	P33937	4	3	0	174082	15
P33934	P33937	5	3	1	174082	15
P0ABL3	P33937	6	3	2	174082	15
P0ABL5	P33937	7	3	3	174082	15
P33931	P33937	8	3	4	174082	15
P0ABL8	P33937	9	3	5	174082	15
P0ABM1	P33937	10	3	6	174082	15
P0ABM5	P33937	11	3	7	174082	15
P33937	P69490	3	12	8	174082	15
P33927	P33937	13	3	9	174082	15
P0AA86	P33937	14	3	10	174082	15
P0ABM9	P33937	15	3	11	174082	15
P0AAL3	P33934	4	5	0	174082	15
P0AAL3	P0ABL3	4	6	1	174082	15
P0AAL3	P0ABL5	4	7	2	174082	15
P0AAL3	P33931	4	8	3	174082	15
P0AAL3	P0ABL8	4	9	4	174082	15
P0AAL3	P0ABM1	4	10	5	174082	15
P0AAL3	P0ABM5	4	11	6	174082	15
P0AAL3	P69490	4	12	7	174082	15
P0AAL3	P33927	4	13	8	174082	15
P0AA86	P0AAL3	14	4	9	174082	15
P0AAL3	P0ABM9	4	15	10	174082	15
P0ABL3	P33934	6	5	0	174082	15
